Word	SRank	ERank
all	158281	13696
evidence	2514	41
forget	9322	739
dance	3394	110
everybody	7163	613
four	6014	625
known	3757	117
sleep	5747	545
go	100905	9213
follow	2752	146
hate	7839	762
children	4944	70
certainly	3895	201
apartment	2920	1278
buddy	2743	406
concerned	2452	194
father	16233	913
young	5680	215
send	4045	292
to	823661	68159
finally	5118	395
asking	4851	252
present	2313	89
under	6999	765
sorry	39854	2437
women	4441	1051
worth	3303	131
sent	3524	198
town	8099	322
woman	13734	3050
street	2920	771
worse	4218	123
outside	4260	410
very	36140	4848
caught	2933	259
keeping	2371	86
choice	3828	123
shoot	2759	146
every	15350	1084
jack	14324	780
surprise	3439	240
telling	9129	662
minute	11903	816
cool	5954	266
entire	2976	288
we'll	17077	1232
did	79053	7174
die	6280	201
list	2518	161
brother	7952	228
proud	2586	115
leave	16978	1119
mm	6192	81
team	2773	142
small	2843	292
guy	21126	3971
it'll	5217	313
enjoy	2463	227
open	7598	819
work	23683	1712
says	7821	1061
you'd	10577	517
ten	4448	699
tired	3029	130
till	3091	173
sign	3890	357
past	5315	230
second	9605	1316
y'know	3395	352
lawyer	2338	112
pass	2374	198
victor	2412	15
even	33895	2915
they've	2566	168
what	285826	29372
power	4094	139
cover	2298	182
giving	4143	467
waiting	6132	663
goes	5194	1109
new	18860	2164
fall	3157	157
ever	25127	2351
told	25594	2522
body	4271	277
full	4533	399
mad	3407	191
never	44728	4101
here	124368	7361
leo	5390	1125
hours	5503	474
met	5032	721
busy	3229	229
let	38858	2815
alone	10813	224
along	5147	388
aren't	8065	463
change	8176	598
wait	27920	2816
box	2304	474
boy	11050	1453
great	25435	2378
kids	8247	274
daughter	7057	97
ahead	5364	618
involved	3240	182
changed	3929	273
completely	3919	377
leaving	4889	512
weren't	4896	174
pick	5610	1065
would've	2523	62
weird	3797	172
makes	8001	950
honor	3106	65
fell	2419	199
control	4134	242
love	42994	1951
family	14765	297
win	3126	165
private	2311	105
feelings	3603	120
brought	5010	286
ask	14194	1745
yourself	14291	542
use	9096	1019
from	59972	6090
takes	3386	1142
would	67718	5160
prove	2852	67
hospital	6378	370
dude	2775	40
two	29788	2858
next	12147	1509
few	9164	809
live	9507	773
call	25880	2866
marry	3564	91
wondering	2549	217
taken	3997	365
tape	2605	402
until	10432	444
today	10561	859
more	40239	2539
sort	5000	333
door	6907	1934
knows	9217	596
evening	2998	113
started	5707	523
share	2563	77
company	4209	210
sister	7188	259
hurt	11145	267
excuse	10747	1337
ain't	4541	43
stick	2753	247
broke	3044	400
baby	16514	539
hold	10254	834
glad	7277	281
must	14089	1087
me	312326	20530
high	5377	517
none	3615	75
word	7355	450
room	13467	1231
hour	4325	380
this	249860	23414
car	10485	2216
ride	2768	218
getting	17199	2380
attention	2397	210
anywhere	3821	136
can	107652	8129
ms	3131	90
learn	2912	97
making	8623	872
my	210429	19496
history	2564	99
beautiful	7813	603
heart	8824	214
crazy	7650	628
figure	4785	265
give	31073	3110
lives	5095	273
didn't	56732	4188
terrible	2914	277
honey	11659	110
heard	11692	1032
something	54736	3794
want	102822	7123
sense	4597	226
handle	4181	203
times	6475	393
dress	2501	159
sir	12557	383
needs	6555	288
end	8171	643
turn	8264	694
rather	3241	183
country	3187	195
plans	2327	94
means	7980	292
write	2741	307
how	87908	9294
hot	4777	703
answer	6016	211
instead	2744	193
strong	3088	90
staying	2443	170
okay	63509	3132
tried	6830	409
information	3063	94
may	12199	1027
watch	7310	1078
after	22182	1473
water	4469	502
wrong	19025	1157
birthday	2580	251
blood	4542	167
coming	14082	1269
date	5581	1530
such	8813	651
law	3225	108
guys	19953	1233
man	37355	3983
a	563578	67071
short	2440	273
remember	17266	1154
maybe	37653	3087
sit	7625	1084
appreciate	3379	183
ones	2539	189
so	169088	16540
pay	6016	861
putting	2366	377
dream	3471	215
order	4270	332
talk	28834	2262
that's	102146	9470
cute	2504	62
six	4737	553
help	29825	1231
office	5955	814
don't	206663	15139
over	40001	4663
move	9073	1216
soon	9261	295
years	13526	1139
course	15866	1387
paper	2607	536
won't	19208	831
looks	8337	1887
hell	15191	1063
cold	3690	294
still	28308	2422
phone	8424	2468
trouble	6510	432
before	25329	1024
perfect	6276	290
police	6260	346
thank	31728	1809
he's	57551	6235
somewhere	3707	106
interesting	2497	285
fix	2414	214
amazing	3294	292
actually	16585	1130
better	25282	1709
bye	8969	449
might	15774	1004
mommy	2281	10
haven't	11699	698
happened	19282	1639
dad	17003	268
then	52197	4197
them	40366	3238
good	72798	5600
somebody	8923	770
calm	2948	123
ya	6212	1557
safe	4999	42
school	9443	292
finish	2535	136
break	6941	570
lunch	2660	463
girlfriend	2325	213
you've	23483	1261
they	69192	10369
half	5819	550
not	195058	14293
now	100909	6170
day	21860	1520
name	13044	1250
pregnant	2805	52
always	20581	1673
drop	3546	405
sweetheart	3434	60
lucy	3450	30
billy	2797	141
stopped	2719	254
truth	9470	151
each	9277	701
found	11875	639
went	12892	1514
side	5813	566
isn't	20796	1191
mean	61504	4106
em	5590	52
everyone	7214	544
upstairs	2293	125
hasn't	3318	187
doing	32831	2991
house	14458	798
hard	10608	593
idea	14203	1036
gun	3396	143
expect	3277	128
year	8013	351
our	39896	1590
girl	12641	513
worried	5066	255
message	2846	299
special	4573	276
really	68311	6651
try	15235	917
given	3283	172
missed	3043	254
god	28502	1438
since	10757	462
looking	13843	2099
mess	2516	123
stupid	6020	681
shouldn't	5874	334
they'll	3593	215
got	86085	10909
darling	3146	20
cause	9277	281
red	2976	265
ass	3947	61
shut	6294	597
you're	135738	9585
frank	3525	2375
million	2873	152
little	47885	4811
free	5433	394
quite	5304	558
mmm	2414	320
reason	8395	296
york	2873	381
besides	3355	196
imagine	2946	229
put	21617	2451
sitting	2920	800
wanted	20074	1205
care	18042	1161
could	57285	5490
days	7213	515
keep	21842	1323
thing	38121	3209
place	16796	1186
joey	3216	85
think	102403	9300
first	24509	1604
already	12233	614
feel	23850	1493
meet	8608	1317
number	5289	637
welcome	4373	235
one	84057	6890
feet	2555	305
talked	3975	414
done	16010	930
another	14541	1469
president	4086	170
sounds	5665	539
kidding	4539	452
miss	8806	504
tomorrow	8254	753
doesn't	25926	2035
guess	18473	1415
needed	4043	146
twenty	3463	453
top	3283	548
girls	4048	185
least	8119	481
anyone	9050	668
their	15907	1420
wonderful	5341	206
too	43360	2718
white	3665	294
john	4413	416
friend	12245	1768
listen	20142	2093
eyes	5950	346
murder	3089	59
lot	19421	1706
relationship	3880	388
that	413389	26830
exactly	11502	445
huh	19871	1418
took	10083	1046
bo	2751	46
part	9518	492
kept	3152	267
believe	24210	2427
herself	2530	153
than	24815	1404
here's	4130	487
loved	4851	150
kind	19031	1797
hundred	3942	775
ben	3262	215
lying	3837	191
gotta	11000	3370
bed	5589	350
matter	11578	706
standing	2690	486
future	3798	97
marriage	4129	66
supposed	9818	1032
loves	3876	168
were	58127	3841
feeling	7058	414
playing	3899	396
bet	4548	445
and	480214	34039
normal	2339	178
sam	6354	91
ran	2692	250
craig	2810	205
mind	15364	959
mine	6503	434
spent	2406	86
tonight	13305	705
talking	18875	2120
say	50213	3740
himself	3331	576
have	210523	17728
need	46040	3005
seen	10192	1333
seem	5001	382
antonio	3188	96
saw	12707	1286
any	34203	2973
ray	2752	456
lie	4536	200
forgive	2690	48
afraid	7587	401
trip	2975	184
pain	3720	107
able	6289	491
also	5583	341
take	49868	5211
which	13652	646
jail	2684	25
play	7883	708
sure	40757	2442
unless	4078	190
though	6502	330
knew	13357	763
where's	5711	748
most	9699	623
mouth	2807	356
plan	5557	176
nothing	26592	1938
beth	2375	285
why	78554	7015
forever	3432	22
especially	3376	88
nobody	5195	539
clear	4836	160
later	8636	631
upset	5064	336
drive	3607	424
face	9441	1002
looked	3431	360
you'll	14958	936
definitely	3068	223
aunt	2339	140
clean	2914	373
wow	7036	615
came	15142	947
saying	12204	761
shot	4866	292
show	12392	1672
anyway	8517	1063
hotel	2463	246
bring	8320	789
earth	2312	51
longer	3043	134
fine	22993	1176
find	26757	1604
count	2589	129
near	2386	167
ha	8033	1676
true	9296	258
explain	3913	203
behind	5388	658
should	34829	3504
only	30599	1899
going	121435	7240
black	3217	298
pretty	12746	1180
watching	3152	496
b	2928	76
interested	2838	331
hope	13093	423
meant	4596	86
do	194183	16956
his	55502	9410
hit	6248	644
sweetie	2439	20
get	126849	13773
beat	2440	339
luke	2614	5
stop	21341	1529
lucky	5631	258
self	2358	60
feels	3067	174
cannot	3537	277
words	3647	219
wedding	6334	265
dr	8917	453
him	96536	7608
bar	2376	320
angry	2747	279
married	8798	340
state	2592	124
morning	9823	585
whether	2316	82
bad	17636	1557
stuff	9709	731
she	110122	10512
gotten	2640	176
through	18903	1347
where	39330	3821
everything's	2316	49
husband	6038	47
set	6878	464
human	2986	276
fair	2941	129
sex	4049	570
see	75968	9074
decided	3224	244
college	2589	105
are	152650	14069
holding	2394	438
close	6877	494
best	14094	769
wonder	3735	277
said	34568	3302
movie	3209	688
away	24543	1471
please	33628	1163
its	3439	311
favor	2920	265
enough	15322	714
there's	35242	3018
between	7585	458
probably	11332	691
neither	2417	120
we	181863	12592
men	5678	760
missing	2845	164
court	2919	87
blame	2923	87
job	12047	865
death	5165	240
coffee	4499	1527
wear	2765	816
news	5936	272
come	72807	6464
pull	3340	361
both	11035	668
c	4166	40
piece	3239	590
last	21965	1689
many	8504	707
wouldn't	16615	1155
clothes	2434	440
quiet	2454	227
against	6064	398
agree	2584	67
personal	3103	251
s	5255	75
whole	14623	1923
asked	7009	630
can't	62602	6029
tough	2606	241
point	8707	563
simple	2549	92
seems	5138	393
